,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
9252,159,"Wells, H. G. (Herbert George)",The Island of Doctor Moreau,http://www.gutenberg.org/ebooks/159.txt.utf-8,PR,Shipwreck survival -- Fiction,Animal experimentation -- Fiction,Islands -- Fiction,Science fiction
9568,1721,"Chesterton, G. K. (Gilbert Keith)",The Trees of Pride,http://www.gutenberg.org/files/1721/1721-0.txt,PR,Murder -- Fiction,Mystery fiction,,
9625,40719,"Benson, E. F. (Edward Frederic)",Dodo Wonders--,http://www.gutenberg.org/ebooks/40719.txt.utf-8,England -- Social life and customs -- 20th century -- Fiction,Middle-aged women -- Fiction,Aristocracy (Social class) -- Fiction,"World War, 1914-1918 -- England -- Fiction",PR
9657,524,"Wells, H. G. (Herbert George)",Ann Veronica: A Modern Love Story,http://www.gutenberg.org/files/524/524-0.txt,PR,Love stories,Great Britain -- Social conditions -- Fiction,Sex role -- Fiction,Feminism -- Fiction
9976,54931,"Cannan, Gilbert",Mendel: A Story of Youth,http://www.gutenberg.org/ebooks/54931.txt.utf-8,Artists -- Fiction,Jews -- England -- London -- Fiction,English fiction -- 20th century,Man-woman relationships -- Fiction,PR
10017,26698,"Ford, Ford Madox",Privy Seal: His Last Venture,http://www.gutenberg.org/ebooks/26698.txt.utf-8,PR,"Catharine Howard, Queen, consort of Henry VIII, King of England, -1542 -- Fiction",Queens -- Great Britain -- Fiction,Biographical fiction,
10066,35187,"Grahame, Kenneth",Dream Days,http://www.gutenberg.org/ebooks/35187.txt.utf-8,PR,England -- Fiction,Brothers and sisters -- Fiction,Country life -- Fiction,
10163,44486,"Benson, E. F. (Edward Frederic)",Dodo: A Detail of the Day. Volumes 1 and 2,http://www.gutenberg.org/ebooks/44486.txt.utf-8,Unrequited love -- Fiction,PR,Upper class -- England -- Fiction,Triangles (Interpersonal relations) -- Fiction,England -- Social life and customs -- 19th century -- Fiction
10287,8396,"Ollivant, Alfred",The Gentleman: A Romance of the Sea,http://www.gutenberg.org/ebooks/8396.txt.utf-8,PR,Sea stories,Fiction,,
10317,1718,"Chesterton, G. K. (Gilbert Keith)",Manalive,http://www.gutenberg.org/ebooks/1718.txt.utf-8,PR,False arrest -- Fiction,Attempted murder -- Fiction,Humorous stories,Mystery fiction
10410,15135,"Hergesheimer, Joseph",The Three Black Pennys: A Novel,http://www.gutenberg.org/ebooks/15135.txt.utf-8,Pennsylvania -- Fiction,Family -- Fiction,Steel industry and trade -- Fiction,PS,
