,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
26164,11436,"Taylor, Bayard","Stories by American Authors, Volume 1",http://www.gutenberg.org/ebooks/11436.txt.utf-8,"Short stories, American",PS,United States -- Social life and customs -- Fiction,,
26281,38995,"Miller, Thomas",The Sheep and Lamb,http://www.gutenberg.org/ebooks/38995.txt.utf-8,Children -- Conduct of life -- Juvenile fiction,Pets -- Juvenile fiction,PZ,Sheep -- Juvenile fiction,Ducks -- Juvenile fiction
26519,12414,"Barbusse, Henri",The Inferno,http://www.gutenberg.org/ebooks/12414.txt.utf-8,PQ,France -- Fiction,Voyeurism -- Fiction,,
26888,23810,"Chopin, Kate",At Fault,http://www.gutenberg.org/files/23810/23810-0.txt,Women plantation owners -- Fiction,PS,Creoles -- Fiction,Psychological fiction,Louisiana -- Fiction
27704,6374,"Brebner, Percy James",Princess Maritza,http://www.gutenberg.org/ebooks/6374.txt.utf-8,PR,British -- Foreign countries -- Fiction,Adventure stories,,
27916,13500,"Everett-Green, Evelyn",A Heroine of France: The Story of Joan of Arc,http://www.gutenberg.org/ebooks/13500.txt.utf-8,Women soldiers -- France -- Juvenile fiction,"Joan, of Arc, Saint, 1412-1431 -- Juvenile fiction",PZ,Christian saints -- France -- Juvenile fiction,"France -- History -- Charles VII, 1422-1461 -- Juvenile fiction"
27930,45098,"Whishaw, Frederick",Boris the Bear-Hunter,http://www.gutenberg.org/ebooks/45098.txt.utf-8,Youth -- Conduct of life -- Juvenile fiction,Bears -- Juvenile fiction,Russia -- Juvenile fiction,PZ,Conduct of life -- Juvenile fiction
28151,36121,"Oyen, Henry",The Snow-Burner,http://www.gutenberg.org/files/36121/36121-0.txt,Lumber camps -- Fiction,PS,Minnesota -- Fiction,,
28536,9849,"Brebner, Percy James",The Brown Mask,http://www.gutenberg.org/ebooks/9849.txt.utf-8,PR,"Great Britain -- History -- James II, 1685-1688 -- Fiction",Adventure stories,Fiction,
28900,15958,"Everett-Green, Evelyn",French and English: A Story of the Struggle in America,http://www.gutenberg.org/ebooks/15958.txt.utf-8,War -- Juvenile fiction,Brothers -- Juvenile fiction,"United States -- History -- French and Indian War, 1754-1763 -- Juvenile fiction",Conduct of life -- Juvenile fiction,Soldiers -- Juvenile fiction
29197,13227,"Everett-Green, Evelyn",The Lord of Dynevor: A Tale of the Times of Edward the First,http://www.gutenberg.org/ebooks/13227.txt.utf-8,Children -- Conduct of life -- Juvenile fiction,Brothers -- Juvenile fiction,PZ,Wales -- History -- 1063-1536 -- Juvenile fiction,Conduct of life -- Juvenile fiction
29549,7447,"Lawson, Henry",The Rising of the Court,http://www.gutenberg.org/files/7447/7447-0.txt,PR,Australia -- Social life and customs -- Fiction,Frontier and pioneer life -- Australia -- Fiction,,
29733,7335,"Hemyng, Bracebridge",Jack Harkaway and His Son's Escape from the Brigands of Greece,http://www.gutenberg.org/ebooks/7335.txt.utf-8,PZ,Brigands and robbers -- Juvenile fiction,Greece -- Juvenile fiction,Adventure stories,
29863,3925,"Droz, Gustave","Monsieur, Madame, and Bébé — Volume 03",http://www.gutenberg.org/ebooks/3925.txt.utf-8,Family life -- Fiction,French fiction -- Translations into English,PQ,,
29867,20320,"Hemyng, Bracebridge",Jack Harkaway's Boy Tinker Among The Turks Book Number Fifteen in the Jack Harkaway Series,http://www.gutenberg.org/ebooks/20320.txt.utf-8,PZ,Turkey -- Juvenile fiction,Adventure stories,,
30671,45728,"Whitlock, Brand",The Happy Average,http://www.gutenberg.org/ebooks/45728.txt.utf-8,PS,Middle West -- Fiction,Betrothal -- Fiction,United States -- Social life and customs -- Fiction,Courtship -- Fiction
30896,40265,"Hawes, Charles Boardman","The Great Quest A romance of 1826, wherein are recorded the experiences of Josiah Woods of Topham, and of those others with whom he sailed for Cuba and the Gulf of Guinea",http://www.gutenberg.org/ebooks/40265.txt.utf-8,PZ,"Guinea, Gulf of -- Fiction",Cuba -- Fiction,Sea stories,PS
30994,38411,"Palacio Valdés, Armando",Froth: A Novel,http://www.gutenberg.org/ebooks/38411.txt.utf-8,Madrid (Spain) -- Social life and customs -- Fiction,PQ,Satire,Spanish fiction -- Translations into English,
31341,13404,"Everett-Green, Evelyn",Tom Tufton's Travels,http://www.gutenberg.org/ebooks/13404.txt.utf-8,PZ,Brigands and robbers -- Juvenile fiction,"Great Britain -- History -- Anne, 1702-1714 -- Juvenile fiction",Historical fiction,Adventure stories
31440,37042,"Hocking, Joseph",The Coming of the King,http://www.gutenberg.org/ebooks/37042.txt.utf-8,PR,"Great Britain -- History -- Charles II, 1660-1685 -- Fiction",Historical fiction,Adventure stories,
31833,38854,"Wingfield, Lewis",The Maid of Honour: A Tale of the Dark Days of France. Vol. 3 (of 3),http://www.gutenberg.org/ebooks/38854.txt.utf-8,PR,"France -- History -- Revolution, 1789-1799 -- Fiction",Historical fiction,,
32359,12177,"Peattie, Elia Wilkinson",The Precipice: A Novel,http://www.gutenberg.org/ebooks/12177.txt.utf-8,PS,Feminist fiction,Women -- Social and moral questions -- Fiction,Young women -- Fiction,
32725,33985,"Miller, Alice Duer",Manslaughter,http://www.gutenberg.org/ebooks/33985.txt.utf-8,PS,Traffic fatalities -- Fiction,Rich people -- Fiction,Young women -- Fiction,Trials (Manslaughter) -- Fiction
33332,25825,"French, Allen",At Plattsburg,http://www.gutenberg.org/ebooks/25825.txt.utf-8,New York (State) -- Fiction,PS,Plattsburgh Barracks (N.Y.),U,Military education -- Fiction
