,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
2374,50557,"Johnston, Mary",Silver Cross,http://www.gutenberg.org/files/50557/50557-0.txt,"Great Britain -- History -- Henry VII, 1485-1509 -- Fiction",Historical fiction,PS,,
2431,32169,"Wiggin, Kate Douglas Smith",Susanna and Sue,http://www.gutenberg.org/ebooks/32169.txt.utf-8,PS,Families -- Fiction,Shakers -- Fiction,,
2532,4605,"Collins, Wilkie",Basil,http://www.gutenberg.org/files/4605/4605-0.txt,PR,Revenge -- Fiction,England -- Fiction,Fathers and sons -- Fiction,Young men -- Psychology -- Fiction
2550,122,"Hardy, Thomas",The Return of the Native,http://www.gutenberg.org/files/122/122-0.txt,PR,People with visual disabilities -- Fiction,Adultery -- Fiction,Wessex (England) -- Fiction,Mothers and sons -- Fiction
2609,12964,"Warner, Susan","Melbourne House, Volume 2",http://www.gutenberg.org/ebooks/12964.txt.utf-8,PZ,Children -- Religious life -- Juvenile fiction,Tableaux -- Juvenile fiction,Christian life -- Juvenile fiction,
2629,4917,"Trollope, Anthony",The Kellys and the O'Kellys,http://www.gutenberg.org/ebooks/4917.txt.utf-8,PR,Landowners -- Fiction,Land tenure -- Fiction,Landlord and tenant -- Fiction,Ireland -- Fiction
2644,20981,"Hope, Anthony",Tristram of Blent: An Episode in the Story of an Ancient House,http://www.gutenberg.org/files/20981/20981-0.txt,PR,Inheritance and succession -- Fiction,England -- Social life and customs -- Fiction,Young men -- Fiction,
2687,2348,"Doyle, Arthur Conan",The Disappearance of Lady Frances Carfax,http://www.gutenberg.org/ebooks/2348.txt.utf-8,PR,Private investigators -- England -- Fiction,Detective and mystery stories,"Holmes, Sherlock (Fictitious character) -- Fiction",
2707,8897,"Trollope, Anthony",Nina Balatka,http://www.gutenberg.org/ebooks/8897.txt.utf-8,PR,Prague (Czech Republic) -- Fiction,Love stories,,
2839,7197,"Twain, Mark","The Adventures of Tom Sawyer, Part 5.",http://www.gutenberg.org/ebooks/7197.txt.utf-8,Male friendship -- Fiction,Humorous stories,Missouri -- Fiction,Child witnesses -- Fiction,PS
2850,267,"Wharton, Edith",The Touchstone,http://www.gutenberg.org/files/267/267-0.txt,PS,Psychological fiction,Women novelists -- Fiction,Rejection (Psychology) -- Fiction,Triangles (Interpersonal relations) -- Fiction
2887,30147,"Warner, Susan",Opportunities,http://www.gutenberg.org/ebooks/30147.txt.utf-8,Family life -- Juvenile fiction,PZ,Conduct of life -- Juvenile fiction,Wealth -- Religious aspects -- Juvenile fiction,Christian life -- Juvenile fiction
