text	prestige	val
45666	High prestige	0.03745
7824	High prestige	0.04647
33985	High prestige	0.05233
2665	High prestige	0.01968
8877	High prestige	0.04674
29500	High prestige	0.04075
27607	High prestige	0.03922
40176	High prestige	0.04932
19085	High prestige	0.04654
8493	High prestige	0.04700
34243	High prestige	0.03327
23784	High prestige	0.04100
23251	High prestige	0.05842
23249	High prestige	0.05835
14021	High prestige	0.04653
24826	High prestige	0.05270
35671	High prestige	0.05647
5670	High prestige	0.05143
28071	High prestige	0.04527
8939	High prestige	0.04734
39558	High prestige	0.04463
37820	High prestige	0.04367
6847	High prestige	0.04458
37189	High prestige	0.05231
32520	High prestige	0.04838
3474	High prestige	0.04669
2182	High prestige	0.02762
30439	High prestige	0.04488
2697	High prestige	0.03131
7048	High prestige	0.05909
22293	High prestige	0.05316
8487	High prestige	0.06312
37079	High prestige	0.04207
23255	High prestige	0.05092
35281	High prestige	0.05811
13944	High prestige	0.04405
42012	High prestige	0.04811
3722	Low prestige	0.05271
9988	Low prestige	0.05210
39215	Low prestige	0.06188
14534	Low prestige	0.04997
81	Low prestige	0.06077
6058	Low prestige	0.03417
14211	Low prestige	0.06158
29776	Low prestige	0.05954
21664	Low prestige	0.05154
149	Low prestige	0.06056
702	Low prestige	0.05054
41802	Low prestige	0.05820
111	Low prestige	0.05856
33066	Low prestige	0.06384
5895	Low prestige	0.07468
39216	Low prestige	0.06855
96	Low prestige	0.06287
25159	Low prestige	0.06669
25875	Low prestige	0.05864
1939	Low prestige	0.07341
31635	Low prestige	0.05062
42358	Low prestige	0.05369
2079	Low prestige	0.06971
286	Low prestige	0.05070
26616	Low prestige	0.06624
6352	Low prestige	0.05975
48357	Low prestige	0.05161
38985	Low prestige	0.06998
10696	Low prestige	0.07133
4748	Low prestige	0.06951
14379	Low prestige	0.05020
17496	Low prestige	0.04486
16699	Low prestige	0.05857
32103	Low prestige	0.05072
14566	Low prestige	0.05826
14883	Low prestige	0.05415
4585	Low prestige	0.06753
38990	Low prestige	0.04735
19649	Low prestige	0.05669
12104	Low prestige	0.05143
35047	Low prestige	0.06638
72	Low prestige	0.05799
4721	Low prestige	0.06009
45944	Low prestige	0.05382
19539	Low prestige	0.05153
39294	Low prestige	0.05290
12106	Low prestige	0.01872
39138	Low prestige	0.05809
14875	Low prestige	0.05147
26617	Low prestige	0.05249
35393	Low prestige	0.05460
42099	Low prestige	0.06197
33964	Low prestige	0.04356
2020	Low prestige	0.05726
38871	Low prestige	0.05138
47113	Low prestige	0.04866
32225	Low prestige	0.05330
46317	Low prestige	0.03272
40102	Low prestige	0.04476
46250	Low prestige	0.06032
10084	Low prestige	0.07878
35746	Low prestige	0.05098
92	Low prestige	0.07336
39168	Low prestige	0.06576
31472	Low prestige	0.04691
12170	Low prestige	0.07065
33523	Low prestige	0.05457
85	Low prestige	0.06339
46178	Low prestige	0.04809
42101	Low prestige	0.05475
26618	Low prestige	0.05394
40491	Low prestige	0.04874
17349	Low prestige	0.05337
26619	Low prestige	0.04316
28682	Low prestige	0.05766
1401	Low prestige	0.06746
33226	Low prestige	0.05107
32163	Low prestige	0.05452
6440	Low prestige	0.06033
3619	Low prestige	0.05627
68	Low prestige	0.05758
23683	Low prestige	0.04802
4702	Low prestige	0.06327
19485	Low prestige	0.06100
29100	Low prestige	0.05404
45963	Low prestige	0.05015
34277	Low prestige	0.04696
39295	Low prestige	0.06519
38978	Low prestige	0.04601
12405	Low prestige	0.05989
552	Low prestige	0.05617
18076	Low prestige	0.05121
43390	Low prestige	0.05043
37857	Low prestige	0.04888
14488	Low prestige	0.05379
42113	Low prestige	0.05418
369	Low prestige	0.04830
33811	Low prestige	0.04868
35074	Low prestige	0.04810
16150	Low prestige	0.04655
39296	Low prestige	0.06923
14910	Low prestige	0.04666
46010	Low prestige	0.05068
4704	Low prestige	0.06952
551	Low prestige	0.06930
39214	Low prestige	0.05447
26391	Low prestige	0.05451
904	Low prestige	0.04712
26620	Low prestige	0.05002
36368	Low prestige	0.05573
26497	Low prestige	0.04873
125	Low prestige	0.05893
33775	Low prestige	0.06279
13379	Low prestige	0.04880
9963	Low prestige	0.05104
4633	Low prestige	0.07272
39297	Low prestige	0.07393
17227	Low prestige	0.05725
363	Low prestige	0.06441
45804	Low prestige	0.04921
14917	Low prestige	0.05774
29405	Low prestige	0.05599
21959	Low prestige	0.02271
90	Low prestige	0.06718
4515	Low prestige	0.07307
14532	Low prestige	0.04819
6374	Low prestige	0.04984
123	Low prestige	0.05588
39432	Low prestige	0.04562
28391	Low prestige	0.04023
36121	Low prestige	0.06507
331	Low prestige	0.06284
9849	Low prestige	0.04805
4707	Low prestige	0.06249
349	Low prestige	0.04843
1153	Low prestige	0.05676
46540	Low prestige	0.04435
39136	Low prestige	0.06992
37042	Low prestige	0.04937
34830	Low prestige	0.05894
40493	Low prestige	0.05271
29406	Low prestige	0.06965
42870	Low prestige	0.05003
46437	Low prestige	0.05714
53885	Low prestige	0.06944
364	Low prestige	0.06455
1897	Low prestige	0.06818
14874	Low prestige	0.05152
106	Low prestige	0.06542
25017	Low prestige	0.04770
46537	Low prestige	0.05279
3475	Low prestige	0.05389
33521	Low prestige	0.05201
30428	Low prestige	0.05202
17020	Low prestige	0.05294
10066	Low prestige	0.06117
11668	Low prestige	0.07301
14909	Low prestige	0.05735
532	Low prestige	0.05489
25201	Low prestige	0.05060
30980	Low prestige	0.06378
25136	Low prestige	0.04451
38910	Low prestige	0.05854
15607	Low prestige	0.05926
33517	Low prestige	0.05844
39218	Low prestige	0.04284
15763	Low prestige	0.06613
46188	Low prestige	0.05277
14280	Low prestige	0.05793
25463	Low prestige	0.04502
18058	Low prestige	0.05104
34468	Low prestige	0.04534
24976	Low prestige	0.05462
39137	Low prestige	0.05841
13740	Low prestige	0.05779
45651	Low prestige	0.04967
10977	Low prestige	0.06753
33522	Low prestige	0.06500
48356	Low prestige	0.05341
11328	Low prestige	0.06686
38353	Low prestige	0.04752
11880	Low prestige	0.05645
605	Low prestige	0.05979
42307	Low prestige	0.06335
9489	Low prestige	0.05108
38872	Low prestige	0.07144
